# version = csv_v1.0.0
# bname = aaaaaasy_s001_t001
# duration = 1363.00 secs
# montage_file = $NEDC_NFC/lib/nedc_eas_default_montage.txt
#
channel,start_time,stop_time,label,confidence
FP1-F7,0.0000,121.4946,bckg,1.0000
FP1-F7,121.4946,138.3357,gnsz,1.0000
FP1-F7,138.3357,1363.0000,bckg,1.0000
F7-T3,0.0000,121.4946,bckg,1.0000
F7-T3,121.4946,138.3357,gnsz,1.0000
F7-T3,138.3357,1363.0000,bckg,1.0000
T3-T5,0.0000,121.4946,bckg,1.0000
T3-T5,121.4946,138.3357,gnsz,1.0000
T3-T5,138.3357,1363.0000,bckg,1.0000
T5-O1,0.0000,121.4946,bckg,1.0000
T5-O1,121.4946,138.3357,gnsz,1.0000
T5-O1,138.3357,1363.0000,bckg,1.0000
FP2-F8,0.0000,121.4946,bckg,1.0000
FP2-F8,121.4946,138.3357,gnsz,1.0000
FP2-F8,138.3357,1363.0000,bckg,1.0000
F8-T4,0.0000,121.4946,bckg,1.0000
F8-T4,121.4946,138.3357,gnsz,1.0000
F8-T4,138.3357,1363.0000,bckg,1.0000
T4-T6,0.0000,121.4946,bckg,1.0000
T4-T6,121.4946,138.3357,gnsz,1.0000
T4-T6,138.3357,1363.0000,bckg,1.0000
T6-O2,0.0000,121.4946,bckg,1.0000
T6-O2,121.4946,138.3357,gnsz,1.0000
T6-O2,138.3357,1363.0000,bckg,1.0000
A1-T3,0.0000,121.4946,bckg,1.0000
A1-T3,121.4946,138.3357,gnsz,1.0000
A1-T3,138.3357,1363.0000,bckg,1.0000
T3-C3,0.0000,121.4946,bckg,1.0000
T3-C3,121.4946,138.3357,gnsz,1.0000
T3-C3,138.3357,1363.0000,bckg,1.0000
C3-CZ,0.0000,121.4946,bckg,1.0000
C3-CZ,121.4946,138.3357,gnsz,1.0000
C3-CZ,138.3357,1363.0000,bckg,1.0000
CZ-C4,0.0000,121.4946,bckg,1.0000
CZ-C4,121.4946,138.3357,gnsz,1.0000
CZ-C4,138.3357,1363.0000,bckg,1.0000
C4-T4,0.0000,121.4946,bckg,1.0000
C4-T4,121.4946,138.3357,gnsz,1.0000
C4-T4,138.3357,1363.0000,bckg,1.0000
T4-A2,0.0000,121.4946,bckg,1.0000
T4-A2,121.4946,138.3357,gnsz,1.0000
T4-A2,138.3357,1363.0000,bckg,1.0000
FP1-F3,0.0000,121.4946,bckg,1.0000
FP1-F3,121.4946,138.3357,gnsz,1.0000
FP1-F3,138.3357,1363.0000,bckg,1.0000
F3-C3,0.0000,121.4946,bckg,1.0000
F3-C3,121.4946,138.3357,gnsz,1.0000
F3-C3,138.3357,1363.0000,bckg,1.0000
C3-P3,0.0000,121.4946,bckg,1.0000
C3-P3,121.4946,138.3357,gnsz,1.0000
C3-P3,138.3357,1363.0000,bckg,1.0000
P3-O1,0.0000,121.4946,bckg,1.0000
P3-O1,121.4946,138.3357,gnsz,1.0000
P3-O1,138.3357,1363.0000,bckg,1.0000
FP2-F4,0.0000,121.4946,bckg,1.0000
FP2-F4,121.4946,138.3357,gnsz,1.0000
FP2-F4,138.3357,1363.0000,bckg,1.0000
F4-C4,0.0000,121.4946,bckg,1.0000
F4-C4,121.4946,138.3357,gnsz,1.0000
F4-C4,138.3357,1363.0000,bckg,1.0000
C4-P4,0.0000,121.4946,bckg,1.0000
C4-P4,121.4946,138.3357,gnsz,1.0000
C4-P4,138.3357,1363.0000,bckg,1.0000
P4-O2,0.0000,121.4946,bckg,1.0000
P4-O2,121.4946,138.3357,gnsz,1.0000
P4-O2,138.3357,1363.0000,bckg,1.0000
