# version = csv_v1.0.0
# bname = aaaaaauj_s003_t001
# duration = 1383.00 secs
# montage_file = $NEDC_NFC/lib/nedc_eas_default_montage.txt
#
channel,start_time,stop_time,label,confidence
FP1-F7,0.0000,196.0722,bckg,1.0000
FP1-F7,196.0722,219.4129,fnsz,1.0000
FP1-F7,219.4129,464.9578,bckg,1.0000
FP1-F7,464.9578,490.3185,fnsz,1.0000
FP1-F7,490.3185,1317.0055,bckg,1.0000
FP1-F7,1317.0055,1375.4628,fnsz,1.0000
FP1-F7,1375.4628,1383.0000,bckg,1.0000
F7-T3,0.0000,196.0722,bckg,1.0000
F7-T3,196.0722,219.4129,fnsz,1.0000
F7-T3,219.4129,464.9578,bckg,1.0000
F7-T3,464.9578,490.3185,fnsz,1.0000
F7-T3,490.3185,1317.0055,bckg,1.0000
F7-T3,1317.0055,1375.4628,fnsz,1.0000
F7-T3,1375.4628,1383.0000,bckg,1.0000
T3-T5,0.0000,196.0722,bckg,1.0000
T3-T5,196.0722,219.4129,fnsz,1.0000
T3-T5,219.4129,464.9578,bckg,1.0000
T3-T5,464.9578,490.3185,fnsz,1.0000
T3-T5,490.3185,1317.0055,bckg,1.0000
T3-T5,1317.0055,1375.4628,fnsz,1.0000
T3-T5,1375.4628,1383.0000,bckg,1.0000
T5-O1,0.0000,196.0722,bckg,1.0000
T5-O1,196.0722,219.4129,fnsz,1.0000
T5-O1,219.4129,464.9578,bckg,1.0000
T5-O1,464.9578,490.3185,fnsz,1.0000
T5-O1,490.3185,1317.0055,bckg,1.0000
T5-O1,1317.0055,1375.4628,fnsz,1.0000
T5-O1,1375.4628,1383.0000,bckg,1.0000
FP2-F8,0.0000,1383.0000,bckg,1.0000
F8-T4,0.0000,1383.0000,bckg,1.0000
T4-T6,0.0000,1348.9478,bckg,1.0000
T4-T6,1348.9478,1353.0433,fnsz,1.0000
T4-T6,1353.0433,1383.0000,bckg,1.0000
T6-O2,0.0000,1348.9478,bckg,1.0000
T6-O2,1348.9478,1353.0433,fnsz,1.0000
T6-O2,1353.0433,1383.0000,bckg,1.0000
A1-T3,0.0000,196.0788,bckg,1.0000
A1-T3,196.0788,219.4140,fnsz,1.0000
A1-T3,219.4140,464.9245,bckg,1.0000
A1-T3,464.9245,490.2908,fnsz,1.0000
A1-T3,490.2908,1317.0000,bckg,1.0000
A1-T3,1317.0000,1375.4850,fnsz,1.0000
A1-T3,1375.4850,1383.0000,bckg,1.0000
T3-C3,0.0000,196.0722,bckg,1.0000
T3-C3,196.0722,219.3962,fnsz,1.0000
T3-C3,219.3962,464.9245,bckg,1.0000
T3-C3,464.9245,490.2908,fnsz,1.0000
T3-C3,490.2908,1317.0000,bckg,1.0000
T3-C3,1317.0000,1375.4850,fnsz,1.0000
T3-C3,1375.4850,1383.0000,bckg,1.0000
C3-CZ,0.0000,196.0722,bckg,1.0000
C3-CZ,196.0722,219.3962,fnsz,1.0000
C3-CZ,219.3962,464.9245,bckg,1.0000
C3-CZ,464.9245,490.2908,fnsz,1.0000
C3-CZ,490.2908,1317.0000,bckg,1.0000
C3-CZ,1317.0000,1375.4850,fnsz,1.0000
C3-CZ,1375.4850,1383.0000,bckg,1.0000
CZ-C4,0.0000,1383.0000,bckg,1.0000
C4-T4,0.0000,1383.0000,bckg,1.0000
T4-A2,0.0000,1383.0000,bckg,1.0000
FP1-F3,0.0000,1383.0000,bckg,1.0000
F3-C3,0.0000,1383.0000,bckg,1.0000
C3-P3,0.0000,196.0888,bckg,1.0000
C3-P3,196.0888,219.4351,fnsz,1.0000
C3-P3,219.4351,464.9356,bckg,1.0000
C3-P3,464.9356,490.2963,fnsz,1.0000
C3-P3,490.2963,1317.0055,bckg,1.0000
C3-P3,1317.0055,1375.4739,fnsz,1.0000
C3-P3,1375.4739,1383.0000,bckg,1.0000
P3-O1,0.0000,196.0888,bckg,1.0000
P3-O1,196.0888,219.4351,fnsz,1.0000
P3-O1,219.4351,464.9356,bckg,1.0000
P3-O1,464.9356,490.2963,fnsz,1.0000
P3-O1,490.2963,1317.0055,bckg,1.0000
P3-O1,1317.0055,1375.4739,fnsz,1.0000
P3-O1,1375.4739,1383.0000,bckg,1.0000
FP2-F4,0.0000,1383.0000,bckg,1.0000
F4-C4,0.0000,1383.0000,bckg,1.0000
C4-P4,0.0000,1348.9700,bckg,1.0000
C4-P4,1348.9700,1353.0766,fnsz,1.0000
C4-P4,1353.0766,1383.0000,bckg,1.0000
P4-O2,0.0000,1348.9700,bckg,1.0000
P4-O2,1348.9700,1353.0766,fnsz,1.0000
P4-O2,1353.0766,1383.0000,bckg,1.0000
